kata tidak baku,kata baku
taubat,tobat
transport,transpor
triliyun,triliun
triplek,tripleks
tropi,trofi
umroh,umrah
onta,unta
urgent,urgen
urin,urine
ustadz,ustaz
hutang,utang
varitas,varietas
varietes,varietas
walikota,wali kota
jogjakarta,yogyakarta
judikatif,yudikatif
jaman,zaman
jamrud,zamrud
zam-zam,zamzam
yg,yang
yng,yang
goblog,bodoh
yah,ya
dr,dari
tdk,tidak
ga,tidak
gw,aku
gue,aku
lo,kamu
sy,saya
dgn,dengan
krn,karena
org,orang
hestek,tagar
koq,kok
matiin,mati
males,malas
gaada,tidak ada
ngelike,suka
sampe,sampai
byk,banyak
yaa,ya
sbg,sebagai
sgt,sangat
cr,cari
ojok,jangan
ampe,sampai
d,di
hsil,hasil
nympek,sampai
jangn,jangan
jgn,jangan
nyampe,sampai
knp,kenapa
knpa,kenapa
jd,jadi
jangan2,janganjangan
walkot,wali kota
4nies,anies
berhari2,berharihari
berjilid2,berjilidjilid
jln,jalan
please,tolong
org2,orangorang
pd,pada
udah,sudah
sdh,sudah
jkt,jakarta
gk,tidak
prnh,pernah
njabat,menjabat
pjabat2,pejabat
pd,pada
kbingungan,kebingungan
apkh,apakah
gabener,gubernur
pekok,bodoh
klo,kalau
geleng2,heran
karepmu,terserah
action,aksi
donk,dong
semrawut,berantakan
amburadul,berantakan
ane,saya
kalo,kalau
apa2an,apaapaan
kagak,tidak
kata2,katakata
nyungsep,masuk
bangke,sial
sp,siapa
liyat,lihat
babe,ayah
bawak,bawa
gak,tidak
dg,dengan
mo,mau
kek,pun
bodok,bodoh
pan,kan
aer,air
rendem,merendam
auto,otomatis
moga,semoga
ksh,kasih
kapok2,menyerah
tolol,bodoh
62,indonesia
goblok,bodoh
missqueen,miskin
waras,sehat
next,selanjutnya
gub,gubernur
byk,banyak
nggilani,menjijikkan
sy,saya
kl,kalau
or,atau
sedkt,sedikit
drpd,daripada
gmn,bagaimana
lu,kamu
mrka,mereka
sllu,selalu
ingt,ingat
klian,kalian
klen,kalian
